parents,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,comments
Dhrishtadyumna,4,"Kshatradharman, Kshatravarman, Kshatranjaya, and Dhrishtaketu",0,,,mahabharat,https://en.wikipedia.org/wiki/Dhrishtadyumna
Dhritrashtra (with Gandhari and Sughada),101,"Duryodhan, Dushasan, Yuyutsu et al.",1,Dushala,0,mahabharat,
Dionysus,1,,0,,,greek,
Drona and Kripi,1,Ashwatthama,0,,0,mahabharat,
Drupad,11,,1,,,mahabharat,https://www.vyasaonline.com/encyclopedia/drupada/
Duryodhana and Bhanumati,1,Lakshman Kumar,1,Laxmanna,0,mahabharat,
Dushala,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Duhsala
Dushasan,1,Drumasena,0,,0,mahabharat,
Dushyanta and Shakuntla,1,Bharat,0,,0,mahabharat,
Ekalavya,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/Ekalavya
Elkalya,2,Ketuman et al.,0,,0,mahabharat,
Esther,0,,0,,,bible,
Ezekiel,0,,0,,,bible,
Fatimah,2,,0,,,islam,
Ghatotkacha and Ahilawati,3,"Anjanaparvan, Meghavarna, Barbarika",0,,0,mahabharat,
Ghritachi,1,Drona,0,,,mahabharat,
Gideon,70,,0,,,bible,
Hades,0,,1,,,greek,
Hagar,1,,0,,,bible,
Hephaestus,0,,1,,,greek,
Hera,2,,0,,,greek,
Hercules,2,,0,,,greek,
Hermes,2,,0,,,greek,
Imran,2,,2,,,quran,
Isaac,2,,0,,,bible,
Isaiah,2,,0,,,bible,
Ishmael,12,,1,,,bible,
Jacob,12,,0,,,quran,
Jambavan,0,,1,Jambavati,0,ramayan,
Janak,0,,2,Sita and Urmila,0,ramayan,
Jarasandha,2,,2,,,mahabharat,"	Sahadeva and Jayatsena (sons)
Asti and Prapti (daughters, wives of Kamsa) https://en.wikipedia.org/wiki/Jarasandha"
Jaratkaru,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Jaratkaru
Jason,1,,0,,,greek,
Jayadratha,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Jayadratha
Jeremiah,0,,0,,,bible,
Job,0,,3,,,bible,
John the Baptist,0,,0,,,bible,
Joseph,5,,2,,,bible,
Kadru,1000,,2,,,mahabharat,https://en.wikipedia.org/wiki/Kadru
Karna and 2 wives?,7,"Vrishasena, Sushena, Bhanusena, Satyasena, Prasenjita, Satyasandha, and Vrishaketu",0,,0,mahabharat,
Kesari and Anjana,1,Hanuman,0,,0,ramayan,
Krishna (total),80,,8,,,mahabharat,"1. The first son of Queen Rukmini was Pradyumna, and also born of her were Charudeshna, Sudeshna and the powerful Charudeha, along with Sucharu, Chharugupta, Bhadracaru, Charuchandra, Vicaru and Caru, the tenth.

2. The ten sons of Satyabhama were Bhanu, Subhanu, Svarbhanu, Prabhanu, Bhanuman, Chandrabhanu, Brihadbhanu, Atibhanu (the eighth), Sribhanu and Pratibhanu

3. The ten sons of Jambavati were Samba, Sumitra, Purujit, Satajit, Sahasrajit, Vijaya, Citraketu, Vasuman, Dravida and Kratu. These ten, headed by Samba, were their father's favorites.

4. The ten sons of Nagnajiti were Vira, Candra, Asvasena, Citragu, Vegavan, Vrisha, Ama, Sanku, Vasu and the opulent Kunti.

5. The ten sons of Kalindi were Sruta, Kavi, Vrisha, Vira, Subahu, Bhadra, Santi, Darsa and Purnamasa. Her youngest son was Somaka.

6. The ten sons of Lakshamana ( or Madra ) were Praghosha, Gatravan, Simha, Bala, Prabala, Urdhaga, Mahasakti, Saha, Oja and Aparajita.

7. The ten sons of Mitravinda were Vrika, Harsha, Anila, Gridhra, Vardhana, Unnada, Mahamsa, Pavana, Vahni and Kshudhi.

8. The ten sons of Bhadra were Sangramajit, Brihatsena, Sura, Praharana, Arijith, Jaya, Subhadra, Vama, Ayur and Satyaka."
Kuber and Bhadra,3,"alakubara, Manigriva or Varna-kavi, and Mayuraja",1,Minakshi,0,ramayan,
Kumbhakarna + Vajrawala and Kartaki,3,"Kumbha, Nikumbha, Bhimasura",0,,0,ramayan,
Kunti,5,,0,,,mahabharat,https://en.wikipedia.org/wiki/Kunti
Kush and Kumudvati,1,Atithi,1,,0,ramayan,https://en.wikipedia.org/wiki/Kusha_(Ramayana)
Lakshman and Urmila,2,Angada and Chandraketu,0,,0,ramayan,
Lot,0,,4,,,bible,https://jwa.org/encyclopedia/article/lots-daughters-midrash-and-aggadah
Malavi,106,,1,,,mahabharat,https://en.wikipedia.org/wiki/Sudeshna
Malyavan and Sundari,7,"Vajramusthi, Virupaksha, Durmukha, Suptaghna, Yajnakopa, Matta, Unmatta",1,Analaa,0,ramayan,
Manasa,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Manasa
Mary,1,,0,,,bible,
Menaka,0,,2,,,mahabharat,https://en.wikipedia.org/wiki/Menaka
Mohammed,3,,4,,,islam,
Moses,2,,0,,,bible,
Nahusa,7,,0,,,mahabharat,https://en.wikipedia.org/wiki/Nahusha
Nakul and 2 wives?,2,Shatrusena and Suhotra,0,,0,mahabharat,
Nala,1,,1,,,mahabharat,https://en.wikipedia.org/wiki/Nala
Nanda,0,,1,,,mahabharat,https://en.wikipedia.org/wiki/Nanda_(Hinduism)
Narakasura,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Narakasura
Noah,3,,0,,,bible,
Odysseus,1,,0,,,greek,
Orpheus,1,,0,,,greek,
Pandu and 2 wives?,5,"Yudhishthira, Bhima, Arjuna, Nakula and Sahadeva",0,,0,mahabharat,
Parasara,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Par%C4%81%C5%9Bara
Parikshit,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Parikshit
Paris,0,,1,,,greek,
Parishrami (Ambika's maid),1,Vidura,0,,,mahabharat,
Paul,0,,0,,,bible,
Perseus,2,,0,,,greek,
Peter,0,,0,,,bible,
Poseidon,1,,0,,,greek,
Pradyumna,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Pradyumna
Prahasta,1,Jambumali,0,,0,ramayan,
Prometheus,2,,0,,,greek,
Pururavas,6,,0,,,mahabharat,
Ram and Sita,2,Luv and Kush,0,,0,ramayan,
Ravana et al.,6,"Indrajit or Meghanada, Atikaya, Akshayakumara or Akshya, Narantaka, Devantaka",1,Trishira,0,ramayan,
Revati,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Revati
Rhea,3,,3,,,greek,
Ruth,1,,0,,,bible,
Sahadev,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Sahadeva
Samson,0,,0,,,bible,
Samuel,2,,0,,,bible,
Satyavati,3,,0,,,mahabharat,https://en.wikipedia.org/wiki/Satyavati
Shakuni,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Shakuni
Shalya and Avantini,3,"Madranjaya, Rukmanagada, Rukmanarath",0,,0,mahabharat,
Sharmishtha,3,,0,,,mahabharat,https://en.wikipedia.org/wiki/Sharmishtha
Shatrughana and Shrutakriti,2,Shatrughati and Subahu,0,,0,ramayan,
Shikhandi,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Shikhandi
Shishupala,4,,1,,,mahabharat,https://en.wikipedia.org/wiki/Shishupala
Shiva,2,Kartik and Ganesh,1,Ashoksundari,0,ramayan,
Shukra,4,,1,,,mahabharat,https://en.wikipedia.org/wiki/Shukra
shurasena,0,,5,,,mahabharat,
Styx,2,,2,,,greek,
Subala and Sudama,1,Shakuni,1,Gandhari,0,mahabharat,
Subhadra,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Subhadra
Sudeshna,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Sudeshna
Sughada (Gandhari's maid),1,Yuyutsu,0,,,mahabharat,https://en.wikipedia.org/wiki/Yuyutsu
Sumali and Kekumati,10,Prahasta et al.,4,Kaikashi et al.,0,ramayan,
Surya,8,,3,,,mahabharat,https://en.wikipedia.org/wiki/Surya
Svaha,3,,2,,,mahabharat,https://en.wikipedia.org/wiki/Svaha
Talut,9,,2,,,islam,https://lifeinsaudiarabia.net/who-were-talut-jalut-saul-goliath/
Tapati,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Tapati
Terah,1,,3,,,bible,
Theseus,1,,0,,,greek,
Ugrasen and Padmavati,1,Kansa,0,Devaki,0,mahabharat,
Uparicharira,7,,1,,,mahabharat,
Usha,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/U%E1%B9%A3%C4%81
Valandhara,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/List_of_characters_in_the_Mahabharata
Vali (and Sugriva) and Tara,1,Angad,0,,0,ramayan,
Vapusthama,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/List_of_characters_in_the_Mahabharata
Vasishtha,101,Shakti et al.,0,,0,ramayan,
Vasudev and Rohini,4,,0,,,mahabharat,https://www.wisdomlib.org/hinduism/book/vishnu-purana-wilson/d/doc116012.html
Vibhishana and Sarama,0,,1,Trijata,0,ramayan,
Vidura,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/Vidura
Vinata,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Vinata
Virata and Sudeshna,3,"Uttara, Shveta, Shankha",1,Uttar?,0,mahabharat,
Vishrava and 2 women,4,"Ravana, Vibhishana, Kumbakarna, Kuber",1,Shrupnakha,0,ramayan,
Vishwamitra and multiple wives,105,"Madhuchanda, Rajarshi, Shunahshepa, Sushruta, Ashtaka, et al.",1,Shakuntala,0,ramayan,
Yama,0,,1,,,mahabharat,https://en.wikipedia.org/wiki/Yama_(Hinduism)
Yamuna,10,,0,,,mahabharat,https://en.wikipedia.org/wiki/Yamuna_in_Hinduism
Yayati and 2 wives?:,5,"Yadu, Turvashu, Anu, Druhyu and Puru",1,Madhavi,0,mahabharat,
Yudhishthira and 2 wives?,2,Yaudheya and Prativindhya,0,,0,mahabharat,
Zechariah,1,,0,,,bible,
Zeus,3,,3,,,greek,
Agastya,1,,0,,,ramayan,https://en.wikipedia.org/wiki/Agastya
Ahalya,1,,0,,,ramayan,https://en.wikipedia.org/wiki/Ahalya#Children
Angad,1,,0,,,ramayan,https://en.wikipedia.org/wiki/Angada
Ganga,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Ganga_(goddess)
Hema,2,,1,mandodari,,ramayan,https://en.wikipedia.org/wiki/List_of_characters_in_Ramayana
Mandodari,3,,0,,,ramayan,https://en.wikipedia.org/wiki/Mandodari
Prahasta,8,,0,,,ramayan,
Sampati,2,,0,,,ramayan,https://en.wikipedia.org/wiki/Sampati
Tataka,2,,0,,,ramayan,https://en.wikipedia.org/wiki/Tataka
